ID,Airline,Date,FlightNum
0,Comair,1997-01-09,3272
1,Stavropolskaya Aktsionernaya Avia,1997-03-18,1023
2,Merpati Nusantara Airlines,1997-04-19,106
3,China Southern Airlines,1997-05-08,3456
4,FedEx Express,1997-07-31,14
5,Sempati Air,1997-07-17,304
6,Korean Air,1997-08-06,801
7,Formosa Airlines,1997-08-10,7601
8,Vietnam Airlines,1997-09-03,815
9,Royal Brunei Airlines,1997-09-06,238
10,Garuda Indonesia,1997-09-26,152
11,Austral Líneas Aéreas,1997-10-10,2553
12,Tajikistan Airlines,1997-12-15,3183
13,Aerosvit,1997-12-17,241
14,SilkAir,1997-12-19,185
15,United Airlines,1997-12-28,826
16,Cebu Pacific,1998-02-02,387
17,China Airlines,1998-02-16,676
18,Philippine Airlines,1998-03-22,137
19,Air France,1998-04-20,422
20,PIA,1998-05-25,544
21,Propair,1998-06-18,420
22,Proteus Airlines,1998-07-30,706
23,Myanma Airways,1998-08-24,635
24,Cubana de Aviación,1998-08-29,389
25,Swissair,1998-09-02,111
26,PauknAir,1998-09-25,4101
27,Lionair,1998-09-29,602
28,Thai Airways International,1998-12-11,261
29,China Southwest Airlines,1999-02-24,4509
30,Turkish Airlines,1999-04-07,5904
31,Korean Air Cargo,1999-04-15,6316
32,American Airlines,1999-06-01,1420
33,Air Fiji,1999-07-24,121
34,All Nippon Airways,1999-07-24,61
35,TACV,1999-08-07,5002
36,China Airlines,1999-08-22,642
37,LAPA,1999-08-31,3142
38,Necon Air,1999-09-05,128
39,Britannia Airways,1999-09-14,226
40,Qantas,1999-09-23,1
41,EgyptAir,1999-10-31,990
42,TAESA,1999-11-09,725
43,Si Fly,1999-11-12,3275
44,Asian Spirit,1999-12-07,100
45,SATA Air Açores,1999-12-11,530
46,Cubana de Aviación,1999-12-21,1216
47,Korean Air Cargo,1999-12-22,8509
48,Indian Airlines,1999-12-24,814
49,Cubana de Aviación,1999-12-25,310
50,Crossair,2000-01-10,498
51,Kenya Airways,2000-01-30,431
52,Alaska Airlines,2000-01-31,261
53,Emery Worldwide,2000-02-16,17
54,Southwest Airlines,2000-03-05,1455
55,Air Philippines,2000-04-19,541
56,Wuhan Airlines,2000-06-22,343
57,Malév,2000-07-04,262
58,Aerocaribe,2000-07-08,7831
59,Hapag-Lloyd,2000-07-12,3378
60,Alliance Air,2000-07-17,7412
61,Air France,2000-07-25,4590
62,Gulf Air,2000-08-23,72
63,Singapore Airlines,2000-10-31,6
64,Dirgantara Air Service,2000-11-18,3130
65,British Airways,2000-12-20,2069
66,Yemenia,2001-01-23,448
67,RUTACA Airlines,2001-01-25,225
68,Japan Airlines,2001-01-31,907
69,Loganair,2001-02-27,670
70,Thai Airways International,2001-03-03,114
71,Air Caraïbes,2001-03-24,1501
72,Vladivostok Air,2001-07-04,352
73,Air Transat,2001-08-24,236
74,Binter Mediterráneo,2001-08-29,8261
75,American Airlines,2001-09-11,11
76,United Airlines,2001-09-11,175
77,American Airlines,2001-09-11,77
78,United Airlines,2001-09-11,93
83,Siberia Airlines,2001-10-04,1812
84,"Linate Airport disaster, Scandinavian Airlines",2001-10-08,686
85,American Airlines,2001-11-12,587
86,Crossair,2001-11-24,3597
87,American Airlines,2001-12-22,63
88,Lion Air,2002-01-14,386
89,Garuda Indonesia,2002-01-16,421
90,TAME,2002-01-28,120
91,Iran Air Tours,2002-02-12,956
92,Air China,2002-04-15,129
93,EAS Airlines,2002-05-04,4226
94,EgyptAir,2002-05-07,843
95,China Northern Airlines,2002-05-07,6136
96,China Airlines,2002-05-25,611
97,Bashkirian Airlines,2002-07-01,2937
98,Swiss International Airlines,2002-07-10,850
99,Rico Linhas Aéreas,2002-08-30,4823
100,Northwest Airlines,2002-10-09,85
101,Luxair,2002-11-06,9642
102,Laoag International Airlines,2002-11-11,585
103,Aeromist-Kharkiv,2002-12-23,2137
104,Air Midwest,2003-01-08,5481
105,Turkish Airlines,2003-01-08,634
106,TANS Perú,2003-01-09,222
107,Air Algérie,2003-03-06,6289
108,UM Airlines,2003-05-26,4230
109,Qantas,2003-05-29,1737
110,Sudan Airways,2003-07-08,139
111,Colgan Air,2003-08-26,9446
112,FedEx Express,2003-12-18,647
113,UTAGE,2003-12-25,141
114,Flash Airlines,2004-01-03,604
115,Uzbekistan Airways,2004-01-13,1154
116,Kish Air,2004-02-10,7170
117,Rico Linhas Aéreas,2004-05-14,4815
118,Gabon Express,2004-06-08,221
119,Air Tahoma,2004-08-13,185
120,Siberia Airlines,2004-08-24,1047
121,Volga-AviaExpress,2004-08-24,1303
124,MK Airlines,2004-10-14,1602
125,Pinnacle Airlines,2004-10-14,3701
126,Corporate Airlines,2004-10-19,5966
127,China Eastern Airlines,2004-11-21,5210
128,Lion Air,2004-11-30,538
129,Kam Air,2005-02-03,904
130,British Airways,2005-02-20,268
131,Air Transat,2005-03-06,961
132,Regional Airlines,2005-03-16,9288
133,US Airways,2005-06-09,1170
134,Air France,2005-08-02,358
135,Tuninter,2005-08-06,1153
136,Copterline,2005-08-10,103
137,Helios Airways,2005-08-14,522
138,West Caribbean Airways,2005-08-16,708
139,TANS Perú,2005-08-23,204
140,Mandala Airlines,2005-09-05,91
141,JetBlue Airways,2005-09-21,292
142,Bellview Airlines,2005-10-22,210
143,Southwest Airlines,2005-12-08,1248
144,Sosoliso Airlines,2005-12-10,1145
145,Chalk's Ocean Airways,2005-12-19,101
146,Azerbaijan Airlines,2005-12-23,217
147,TEAM Linhas Aéreas,2006-03-31,6865
148,Armavia,2006-05-03,967
149,S7 Airlines,2006-07-09,778
150,PIA,2006-07-10,688
151,FedEx,2006-07-28,630
152,Air Algérie,2006-08-13,2208
153,Pulkovo Aviation Enterprise,2006-08-22,612
154,Comair,2006-08-27,5191
155,Iran Air Tours,2006-09-01,945
156,Gol Transportes Aéreos,2006-09-29,1907
157,Turkish Airlines,2006-10-03,1476
158,Atlantic Airways,2006-10-10,670
159,Continental Airlines,2006-10-28,1883
160,ADC Airlines,2006-10-29,53
161,Adam Air,2007-01-01,574
162,Air West,2007-01-24,612
163,Adam Air,2007-02-21,172
164,Garuda Indonesia,2007-03-07,200
165,UTair,2007-03-17,471
166,Kenya Airways,2007-05-05,507
167,PMTair,2007-06-25,241
168,TAM Airlines,2007-07-17,3054
169,Air Moorea,2007-08-09,1121
170,China Airlines,2007-08-20,120
171,Scandinavian Airlines,2007-09-09,1209
172,Scandinavian Airlines,2007-09-12,2748
173,Scandinavian Airlines,2007-10-27,2867
177,One-Two-GO Airlines,2007-09-16,269
178,Atlasjet,2007-11-30,4203
179,TAROM,2007-12-30,3107
180,British Airways,2008-01-17,38
181,Eagle Airways,2008-02-08,2279
182,Belavia,2008-02-14,1834
183,Santa Bárbara Airlines,2008-02-21,518
184,Hewa Bora Airways,2008-04-15,122
185,TACA,2008-05-30,390
186,Sudan Airways,2008-06-10,109
187,Centurion Air Cargo,2008-07-07,164
188,Qantas,2008-07-25,30
189,Spanair,2008-08-20,5022
190,Iran Aseman Airlines,2008-08-24,6895
191,Sriwijaya Air,2008-08-27,62
192,Aeroflot,2008-09-14,821
193,Qantas,2008-10-07,72
194,Yeti Airlines,2008-10-08,103
195,Ryanair,2008-11-10,4102
